nombre,img_url,familia,sinonimos,habito,origen,distribuicion,rango,paiseslimitrofes,nombre_comun,notas
Senecio kingii Hook.f.,-,Asteraceae,"Senecio gymnocaulos Phil., Senecio subdiscoideus Sch. Bip. ex Wedd., Metazanthus grandiflorus Meyen, Senecio breviculus Phil., Senecio caespitosus Phil., Senecio kingii Hook.f. fma. subdiscoideus (Sch. Bip. ex Wedd.) Hosseus, Senecio purpuratus Phil., Senecio purpuratus Phil. var. subdiscoideus (Sch. Bip. ex Wedd.) Reiche, Senecio kingii Hook.f. var. paradoxus (Albov ex Kurtz) Cabrera",Hierba perenne,Nativa,"Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",100-3800 m.,Argentina,-,-
Senecio laetevirens Phil.,-,Asteraceae,"",Subarbusto,Nativa,"Valparaíso (VAL), Metropolitana (RME)",2000-3200 m.,Argentina,-,-
Senecio laevicaulis DC.,-,Asteraceae,Senecio holophyllus J. Remy,Subarbusto,Endémica,"Metropolitana (RME), O'Higgins (LBO), Maule (MAU)",2500 m.,-,-,-
Senecio landbeckii Phil.,-,Asteraceae,"",Subarbusto,Endémica,"O'Higgins (LBO), Maule (MAU)",1500-2500 m.,-,-,-
Senecio laseguei Hombr. & Jacquinot,-,Asteraceae,"Senecio danyausii Hombr. & Jacquinot var. intermedius Sch. Bip., Senecio magellanicus Phil., hom. illeg., Senecio philippii De Wild.",Hierba perenne,Nativa,Magallanes (MAG),100-300 m.,Argentina,-,-
Senecio lastarrianus J. Remy,-,Asteraceae,"Senecio baccharidifolius DC. var. angustifolius DC., Senecio nitidus Phil.",Subarbusto,Endémica,"O'Higgins (LBO), Maule (MAU), Ñuble (NUB)",900-2000 m.,-,-,-
Senecio leptocaulos Phil.,-,Asteraceae,"",Subarbusto,Endémica,"Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO)",800-1600 m.,-,-,-
Senecio leucomallus A. Gray var. incisus A. Gray,-,Asteraceae,"",Arbusto o subarbusto,Nativa,Magallanes (MAG),0-1500 m.,Argentina,-,-
Senecio leucomallus A. Gray var. leucomallus,-,Asteraceae,"",Arbusto o subarbusto,Nativa,"Aysén (AIS), Magallanes (MAG)",0-500 m.,Argentina,-,-
Senecio leucophyton Phil.,-,Asteraceae,"",Subarbusto,Nativa,Maule (MAU),1500-1800 m.,Argentina,-,-
Senecio leucus Phil.,http://catalogoplantas.udec.cl/sites/default/files/2386_1.jpg,Asteraceae,"",Arbusto,Nativa,"Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ)",2500-3500 m.,Argentina,-,-
