nombre,large_img_url,tiny_img_url,familia,sinonimos,habito,origen,distribuicion,rango,paiseslimitrofes,nombre_comun,notas
Puccinellia frigida (Phil.) I.M. Johnst.,http://catalogoplantas.udec.cl/sites/default/files/1288_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1288_1.jpg?itok=V7ozHdKA,Poaceae,"Catabrosa frigida Phil., Poa eremophila Phil., Poa oresigena Phil., Puccinellia oresigena (Phil.) Hitchc., Poa hypsophila Phil., Puccinellia hypsophila (Phil.) Parodi ex Espinosa, Puccinellia hypsophila (Phil.) Parodi ex Nicora, Poa pumila Phil., Poa taltalensis Pilg.",Hierba perenne,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR), Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ)",2300-4500 m.,Argentina y Bolivia,-,-
Puccinellia glaucescens (Phil.) Parodi,http://catalogoplantas.udec.cl/sites/default/files/1289_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1289_1.jpg?itok=Q0om2URK,Poaceae,"Catabrosa glaucescens Phil., Puccinellia johnstonii Muñoz",Hierba perenne,Nativa,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), Biobío (BIO), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",5-3000 m.,Argentina,-,-
Puccinellia magellanica (Hook.f.) Parodi,http://catalogoplantas.udec.cl/sites/default/files/1290_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1290_1.jpg?itok=hyaPakSM,Poaceae,"Catabrosa magellanica Hook.f., Atropis magellanica (Hook.f.) E. Desv., Glyceria magellanica (Hook.f.) Benth., Glyceria fuegiana Speg., Atropis laxa Pilg., Puccinellia laxa (Pilg.) Parodi",Hierba perenne,Nativa,"Los Lagos (LLA), Magallanes (MAG)",0-90 m.,Argentina,-,-
Puccinellia preslii (Hack.) Ponert,http://catalogoplantas.udec.cl/sites/default/files/1291_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1291_1.jpg?itok=4cpl9CI3,Poaceae,"Catabrosa tenuifolia J. Presl, Aira tenuifolia (J. Presl) Steud., Glyceria tenuifolia (J. Presl) Steud. nom. illeg., Atropis preslii (J. Presl) Hauman, Atropis tenuifolia (J. Presl) Hauman nom. illeg., Atropis tenuifolia (J. Presl) Speg. nom. illeg., Puccinellia tenuifolia (J. Presl) Parodi, nom. illeg., Puccinellia parodi Nicora nom. illeg.",Hierba perenne,Nativa,Atacama (ATA),4000-4000 m.,Argentina,-,-
Puccinellia pusilla (Hack.) Parodi,http://catalogoplantas.udec.cl/sites/default/files/1292_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1292_1.jpg?itok=5cG18fZ7,Poaceae,Atropis preslii Hack. subsp. pusiilla Hack.,Hierba perenne,Nativa,Magallanes (MAG),5-130 m.,Argentina,-,-
Puccinellia skottsbergii (Pilg.) Parodi,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1293.png?itok=nNZldeXI,Poaceae,Atropis skottsbergii Pilg.,Hierba perenne,Nativa,Magallanes (MAG),-,Argentina,-,-
Relchela panicoides Steud.,http://catalogoplantas.udec.cl/sites/default/files/1294_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1294_1.jpg?itok=n-uzaM5I,Poaceae,"Panicum oligostachyum Steud., Agrostis asperula Phil., Agrostis corralensis Phil., Agrostis limonias Phil.",Hierba perenne,Nativa,"Valparaíso (VAL), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA)",10-1460 m.,Argentina,-,-
Rostraria cristata (L.) Tzvelev,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1295.png?itok=HeIk1OJJ,Poaceae,"",Hierba anual,Introducida,"Tarapacá (TAR), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Magallanes (MAG), Rapa Nui (IPA)",-,-,-,-
Rostraria trachyantha (Phil.) Tzvelev ex Soreng,http://catalogoplantas.udec.cl/sites/default/files/1296_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1296_1.jpg?itok=HzMethmr,Poaceae,"Koeleria trachyantha Phil., Raimundochloa trachyantha (Phil.) A.M. Molina, Parodiochloa trachyantha (Phil.) A.M. Molina",Hierba anual,Nativa,"Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL)",25-550 m.,Perú,-,-
Rytidosperma lechleri Steud.,http://catalogoplantas.udec.cl/sites/default/files/1297_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1297_1.jpg?itok=uOrzvqJg,Poaceae,"Danthonia glabra Phil., Rytidosperma glabrum (Phil.) Nicora, Notodanthonia lechleri (Steud.) Veldkamp",Hierba perenne,Nativa,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA)",800-3300 m.,Argentina,-,-
Rytidosperma paschale (Pilg.) C.M. Baeza,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1298.png?itok=RgOoqdVf,Poaceae,Danthonia paschalis Pilg.,Hierba perenne,Endémica,Rapa Nui (IPA),10-10 m.,-,-,-
Rytidosperma pictum (Nees & Meyen) Nicora var. bimucronata Nicora,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1299.png?itok=unhabR9h,Poaceae,Notodanthonia picta (Nees & Meyen) Veldkamp var. bimucronata (Nicora) Veldkamp,Hierba acuática perenne,Nativa,"Biobío (BIO), Aysén (AIS)",400-3500 m.,Argentina,-,-
Rytidosperma pictum (Nees & Meyen) Nicora var. pictum,http://catalogoplantas.udec.cl/sites/default/files/1300_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1300_1.jpg?itok=uvy8AHbt,Poaceae,"Danthonia picta Nees & Meyen, Notodanthonia picta (Nees & Meyen) Veldkamp",Hierba perenne,Nativa,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",170-3020 m.,Argentina,-,-
Rytidosperma quirihuense C.M. Baeza,http://catalogoplantas.udec.cl/sites/default/files/1301_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1301_1.jpg?itok=3yVTyJOG,Poaceae,"",Hierba perenne,Endémica,"Valparaíso (VAL), Ñuble (NUB)",355-390 m.,-,-,-
Rytidosperma violaceum (E. Desv.) Nicora,http://catalogoplantas.udec.cl/sites/default/files/1302_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1302_1.jpg?itok=UmIIf-In,Poaceae,"Danthonia violacea E. Desv., Notodanthonia violacea (E. Desv.) Veldkamp",Hierba perenne,Nativa,"Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Lagos (LLA)",150-4000 m.,Argentina,-,-
Rytidosperma virescens (E. Desv.) Nicora,http://catalogoplantas.udec.cl/sites/default/files/1303_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1303_1.jpg?itok=3POp6pnR,Poaceae,"Danthonia virescens E. Desv., Danthonia andina Phil., Danthonia werdermanni Pilg., Notodanthonia virescens (E. Desv.) Veldkamp var. virescens",Hierba perenne,Nativa,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",20-2900 m.,Argentina,-,-
Saccharum oficinarum L.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1304.png?itok=l1DiaSPO,Poaceae,"",Hierba perenne,Introducida,Rapa Nui (IPA),-,-,-,-
Schismus arabicus Nees,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1305.png?itok=DW5X2oso,Poaceae,"",Hierba anual,Introducida,"Coquimbo (COQ), Valparaíso (VAL)",-,-,-,-
Schismus barbatus (L.) Thell.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1306.png?itok=c8QOrzYl,Poaceae,"",Hierba anual,Introducida,"Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME)",-,-,-,-
Schizachyrium sanguineum (Retz.) Alston,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1307.png?itok=BRQ0jlw3,Poaceae,"",Hierba perenne,Introducida,"Valparaíso (VAL), Metropolitana (RME), Biobío (BIO)",-,-,-,-
Schyzachyrium spicatum (Spreng.) Herter,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1308.png?itok=BLtN9HdW,Poaceae,Deyeuxia spicata Spreng.,Hierba perenne,Nativa,Biobío (BIO),750-750 m.,Argentina y Bolivia,Pasto escoba,-
Setaria palmifolia (Koenig) Stapf,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1309.png?itok=jHu9JNMX,Poaceae,"",Hierba perenne,Introducida,Rapa Nui (IPA),-,-,-,-
Setaria parviflora (Poir.) Kerguélen var. brachytricha Pensiero,http://catalogoplantas.udec.cl/sites/default/files/1310_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1310_1.jpg?itok=xrd06bCy,Poaceae,"Panicum brachytrichum Steud. ex Lechler, Setaria brachytricha (Steud. ex Lechler) Mez",Hierba perenne,Nativa,"Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA)",10-130 m.,Argentina,-,-
Setaria parviflora (Poir.) Kerguélen var. parviflora,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1311.png?itok=FB-UVzAK,Poaceae,"",Hierba perenne,Introducida,"Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Lagos (LLA), Juan Fernández (JFE), Rapa Nui (IPA)",-,-,-,-
Setaria pumila (Poir.) Roem. & Schult.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1312.png?itok=lzCaxd2D,Poaceae,"",Hierba anual,Introducida,"Tarapacá (TAR), Atacama (ATA), Valparaíso (VAL), Metropolitana (RME), Maule (MAU), Biobío (BIO)",-,-,-,-
Setaria sphacelata (Schumach.) Stapf & C. E. Hubb. ex M. B. Moss,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1313.png?itok=ghRTLZjZ,Poaceae,"",Hierba perenne,Introducida,Rapa Nui (IPA),-,-,-,-
Setaria verticillata (L.) P. Beauv.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1314.png?itok=OCj9ERnG,Poaceae,"",Hierba anual,Introducida,"Arica y Parinacota (AYP), Tarapacá (TAR), Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), Biobío (BIO), Araucanía (ARA)",-,-,-,-
Setaria viridis (L.) P. Beauv.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1315.png?itok=-bnvRfPN,Poaceae,"",Hierba anual,Introducida,"Antofagasta (ANT), Atacama (ATA), Valparaíso (VAL), Metropolitana (RME), Biobío (BIO)",-,-,-,-
Sorghum bicolor (L.) Moench.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1316.png?itok=Rwtn6WqK,Poaceae,"",Hierba anual o perenne,Introducida,Rapa Nui (IPA),-,-,-,-
Sorghum halepense (L.) Pers.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1317.png?itok=kwUgv06q,Poaceae,Hierba perenne,Introducida,"Arica y Parinacota (AYP), Tarapacá (TAR), Antofagasta (ANT), Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Rapa Nui (IPA)",-,-,Toroko (Rapa Nui),-,""
Sporobolus densiflorus (Brongn.) P.M. Peterson & Saarela,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1318.png?itok=2vg7UslN,Poaceae,"Chauvinia chilensis Steud., Spartina densiflora Brongn.",Hierba perenne,Nativa,"Valparaíso (VAL), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA)",5-150 m.,Argentina,-,-
Sporobolus indicus (L.) R. Br.,http://catalogoplantas.udec.cl/sites/default/files/1319_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1319_1.jpg?itok=885v8B7i,Poaceae,"",Hierba perenne,Introducida,Rapa Nui (IPA),-,-,Here hoi (Rapa Nui),-
Sporobolus virginicus (L.) Kunth,http://catalogoplantas.udec.cl/sites/default/files/1320_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1320_1.jpg?itok=obVREPsg,Poaceae,Agrostis virginica L.,Hierba perenne,Introducida,"Arica y Parinacota (AYP), Tarapacá (TAR)",50-340 m.,-,-,-
Stenotaphrum secundatum (Walter) Kuntze,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1321.png?itok=Z56RDQwP,Poaceae,"",Hierba perenne,Introducida,"Arica y Parinacota (AYP), Tarapacá (TAR), Biobío (BIO), Los Ríos (LRI), Los Lagos (LLA)",-,-,-,-
Taeniatherum caput-medusae (L.) Nevski,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1322.png?itok=ZMLceZZ0,Poaceae,"",Hierba anual,Introducida,"O'Higgins (LBO), Maule (MAU)",-,-,-,-
Trichoneura weberbaueri Pilg.,http://catalogoplantas.udec.cl/sites/default/files/1323_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1323_1.jpg?itok=yTl4rwMh,Poaceae,"",Hierba anual,Nativa,Arica y Parinacota (AYP),2100-2276 m.,Perú,-,-
Tripogon nicorae Rúgolo & A.S. Vega,http://catalogoplantas.udec.cl/sites/default/files/1324_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1324_1.jpg?itok=SR6uc4T3,Poaceae,"",Hierba perenne,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR)",2950-3200 m.,"Argentina, Bolivia y Perú",-,-
Tripogon spicatus (Nees) Ekman,http://catalogoplantas.udec.cl/sites/default/files/1325_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1325_1.jpg?itok=o_S_M2w8,Poaceae,Bromus spicatus Nees,Hierba perenne,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR)",2900-3100 m.,"Argentina, Bolivia y Perú",-,-
Trisetum ambiguum Rúgolo & Nicora,http://catalogoplantas.udec.cl/sites/default/files/1326_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1326_1.jpg?itok=8WEafo1m,Poaceae,"",Hierba perenne,Nativa,Magallanes (MAG),350-900 m.,Argentina,-,-
Trisetum barbinode Trin.,http://catalogoplantas.udec.cl/sites/default/files/1327_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1327_1.jpg?itok=sJGC_ZXs,Poaceae,Trisetum hirtiflorum Hack.,Hierba perenne,Nativa,"Metropolitana (RME), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA)",550-3500 m.,Argentina,-,-
Trisetum caudulatum Trin.,http://catalogoplantas.udec.cl/sites/default/files/1328_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1328_1.jpg?itok=LIvF4MPI,Poaceae,"Trisetum chromostachyum E. Desv., Trisetum heteronymum Steud., Trisetum variabile E. Desv., Trisetum variabile E. Desv. var. flavescens E. Desv., Trisetum variabile E. Desv. var. virescens E. Desv., Trisetum malacophyllum Steud, Trisetum splendidulum Steud., Trisetum chiloense Phil., Trisetum variabile E. Desv. var. chiloense (Phil.) Louis-Marie, Trisetum monticola Phil., Trisetum ochrostachyum Phil., Trisetum vidalii Phil., Trisetum variabile E. Desv. var. vidalii (Phil.) Louis-Marie, Trisetum lechleri (Steud.) Nicora, Koeleria lechleri Steud.",Hierba perenne,Nativa,"Antofagasta (ANT), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG), Juan Fernández (JFE)",1170-3500 m.,Argentina,-,Introducida en el Archipiélago de Juan Fernández
Trisetum cernuum Trin.,http://catalogoplantas.udec.cl/sites/default/files/1329_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1329_1.jpg?itok=NL-BrEG8,Poaceae,"Avena leptostachys Hook.f., Trisetum fraudulentum Steud.",Hierba perenne,Nativa,"Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",150-1550 m.,Argentina,-,-
Trisetum flavescens (L.) P. Beauv.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1330.png?itok=cl1TYjRS,Poaceae,"",Hierba perenne,Introducida,Magallanes (MAG),-,-,-,-
Trisetum johnstonii (Louis-Marie) Finot subsp. johnstonii,http://catalogoplantas.udec.cl/sites/default/files/1331_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1331_1.jpg?itok=vsBj65cf,Poaceae,Trisetum oreophilum Louis-Marie var. johnstonii Louis-Marie,Hierba perenne,Nativa,"Atacama (ATA), Coquimbo (COQ), Metropolitana (RME)",3000-4300 m.,Argentina,-,-
Trisetum johnstonii (Louis-Marie) Finot subsp. mattheii (Finot) Finot,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1332.png?itok=zX6K6oDu,Poaceae,Trisetum matthei Finot,Hierba perenne,Endémica,Arica y Parinacota (AYP),4100-4100 m.,-,-,-
Trisetum longiglume Hack.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1333.png?itok=MdWSJK6Y,Poaceae,"Trisetum andicola Louis-Marie, Deschampsia andicola (Louis-Marie) Valencia",Hierba perenne,Nativa,Metropolitana (RME),2000-4000 m.,Argentina,-,-
Trisetum nancaguense Finot,http://catalogoplantas.udec.cl/sites/default/files/1334_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1334_1.jpg?itok=ZmR1d95h,Poaceae,"",Hierba perenne,Endémica,"Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Biobío (BIO)",45-2450 m.,-,-,-
Trisetum preslei (Kunth) E. Desv.,http://catalogoplantas.udec.cl/sites/default/files/1335_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1335_1.jpg?itok=pN5ajXwt,Poaceae,Avena preslei Kunth,Hierba perenne,Nativa,"Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Aysén (AIS)",1300-3800 m.,Argentina,-,-
Trisetum pyramidatum Louis-Marie ex Finot,http://catalogoplantas.udec.cl/sites/default/files/1336_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1336_1.jpg?itok=IvNhHZZ9,Poaceae,"",Hierba perenne,Nativa,"Metropolitana (RME), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Aysén (AIS), Magallanes (MAG)",5-540 m.,Argentina,-,-
Trisetum spicatum (L.) K. Richt. subsp. cumingii (Nees ex Steud.) Finot,http://catalogoplantas.udec.cl/sites/default/files/1337_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1337_1.jpg?itok=JZ952dOx,Poaceae,"Trisetum spicatum (L.) K. Richt. var. cumingii (Nees ex Steud.) Finot, Koeleria cumingii Nees ex Steud., Trisetum cumingii (Nees ex Steud.) Nicora, Trisetum malacophyllum Phil., Trisetum mollifolium Louis-Marie",Hierba perenne,Nativa,"O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",150-1460 m.,Argentina,-,-
Trisetum spicatum (L.) K. Richt. subsp. dianthemum (Louis-Marie) Finot,http://catalogoplantas.udec.cl/sites/default/files/1338_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1338_1.jpg?itok=6YK0Lev8,Poaceae,"Trisetum dianthemum (Louis-Marie) Finot, Trisetum spicatum var. dianthemum Louis-Marie, Trisetum biflorum Phil.",Hierba perenne,Nativa,"Biobío (BIO), Los Ríos (LRI), Los Lagos (LLA), Magallanes (MAG)",3-200 m.,Argentina,-,-
Trisetum spicatum (L.) K. Richt. subsp. phleoides (d'Urv.) Macloskie,http://catalogoplantas.udec.cl/sites/default/files/1339_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1339_1.jpg?itok=sUOihBOk,Poaceae,"Avena phleoides d'Urv., Trisetum hirsutum Phil., Trisetum spicatum var. hirsutum (Phil.) Louis-Marie, Trisetum phleoides",Hierba perenne,Nativa,"Maule (MAU), Ñuble (NUB), Biobío (BIO), Aysén (AIS), Magallanes (MAG)",80-1460 m.,Argentina,-,-
Trisetum spicatum (L.) K. Richt. subsp. spicatum,http://catalogoplantas.udec.cl/sites/default/files/1340_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1340_1.jpg?itok=wgTZvXH4,Poaceae,"Aira spicata L., Trisetum andinum Phil.",Hierba perenne,Nativa,"Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",5-2500 m.,"Argentina, Bolivia y Perú",-,-
Triticum aestivum L.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1341.png?itok=iGismta9,Poaceae,"",Hierba anual,Introducida,Rapa Nui (IPA),-,-,-,-
Vahlodea atropurpurea (Wahlenb.) Fr. ex Hartm.,http://catalogoplantas.udec.cl/sites/default/files/1342_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1342_1.jpg?itok=LdMdalWt,Poaceae,"Aira atropurpurea Wahlenb., Deschampsia atropurpurea (Wahlenb.) Schleele, Aira magellanica Hook.f., Aira atropurpurea Whalenb. var. magellanica (Hook.f.) Skottsb., Vahlodea atropurpurea (Wahlenb.) Fr. ex Hartm. subsp. magellanica (Hook.f.) Hyl., Vahlodea magellanica (Hook.f.) Tzvelev, Deschampsia brachyphylla Phil.",Hierba perenne,Nativa,"Metropolitana (RME), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",150-2000 m.,Argentina,-,-
Vulpia antucensis Trin.,http://catalogoplantas.udec.cl/sites/default/files/1343_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1343_1.jpg?itok=ApfMp9qK,Poaceae,"Festuca antucensis (Trin.) Steud., Festuca eriolepis E. Desv., Vulpia eriolepis (E. Desv.) C.H. Blom",Hierba anual,Nativa,"Antofagasta (ANT), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Lagos (LLA), Aysén (AIS)",15-2800 m.,Argentina,pasto sedilla,-
Vulpia bromoides (L.) Gray,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1344.png?itok=hKNMVCVD,Poaceae,"",Hierba anual,Introducida,"Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG), Juan Fernández (JFE)",-,-,-,-
Vulpia muralis (Kunth) Nees,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1345.png?itok=0jSXLx5X,Poaceae,"",Hierba anual,Introducida,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), Biobío (BIO), Araucanía (ARA), Juan Fernández (JFE)",-,-,-,-
Vulpia myuros (L.) C.C.Gmel. fma. megalura (Nutt.) Stace & R. Cotton,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1346.png?itok=XU6ByPG2,Poaceae,Vulpia myuros (L.) C.C. Gmel. var. hirsuta Hack.,Hierba anual,Introducida,"Antofagasta (ANT), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Juan Fernández (JFE), Rapa Nui (IPA)",-,-,-,-
Vulpia myuros (L.) C.C.Gmel. fma. myuros,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1347.png?itok=lQ1pAErT,Poaceae,"",Hierba anual,Introducida,"Arica y Parinacota (AYP), Antofagasta (ANT), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Lagos (LLA), Magallanes (MAG), Rapa Nui (IPA)",-,-,-,-
Vulpia octoflora (Walter) Rydb.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1348.png?itok=XZ6Wy7rA,Poaceae,"Festuca octoflora Walter, Vulpia antofagastensis Parodi",Hierba anual,Nativa,"Arica y Parinacota (AYP), Antofagasta (ANT), Coquimbo (COQ)",30-500 m.,Argentina,pasto sedilla,-
Zea mays L.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1349.png?itok=-YDuKn1I,Poaceae,"",Hierba anual,Introducida,Rapa Nui (IPA),-,-,-,-
Eichhornia crassipes (Mart.) Solms,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1350.png?itok=hZ2n848Z,Pontederiaceae,"",Hierba acuática perenne,Introducida,"Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Biobío (BIO)",-,-,-,-
Potamogeton ferrugineus Hagstr.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1351.png?itok=tVyU52E2,Potamogetonaceae,"",Hierba acuática perenne,Nativa,Aysén (AIS),100-1000 m.,"Argentina, Bolivia y Perú",-,-
Potamogeton gayi A. Benn.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/1352.png?itok=UwEbC6Sz,Potamogetonaceae,Potamogeton burkartii Horn ex Tur,Hierba acuática perenne,Nativa,Araucanía (ARA),0-1200 m.,Argentina y Bolivia,-,-
Potamogeton illinoensis Morong,http://catalogoplantas.udec.cl/sites/default/files/1353_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1353_1.jpg?itok=jGzRu0SW,Potamogetonaceae,"Potamogeton dunicola Tur, Potamogeton pedersenii Tur",Hierba acuática perenne,Nativa,"Valparaíso (VAL), Araucanía (ARA), Los Lagos (LLA), Magallanes (MAG)",0-1000 m.,"Argentina, Bolivia y Perú",-,-
Potamogeton linguatus Hagstr.,http://catalogoplantas.udec.cl/sites/default/files/1354_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/1354_1.jpg?itok=9hP4jKYg,Potamogetonaceae,"Potamogeton badiovirens Hagstr., Potamogeton natans auct. non L., Potamogeton montanus C. Presl",Hierba acuática perenne,Nativa,"Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",0-1300 m.,Argentina,-,-
