nombre,large_img_url,tiny_img_url,familia,sinonimos,habito,origen,distribuicion,rango,paiseslimitrofes,nombre_comun,notas
Ourisia coccinea (Cav.) Pers. subsp. coccinea,http://catalogoplantas.udec.cl/sites/default/files/4653_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/4653_1.jpg?itok=_L0QPZOU,Plantaginaceae,"Dichroma coccinea Cav., Ourisia villosa Molina, Ourisia pearcei Phil.",Hierba perenne,Nativa,"Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS)",0-1600 m.,Argentina,-,-
Ourisia coccinea (Cav.) Pers. subsp. elegans (Phil.) Meudt,http://catalogoplantas.udec.cl/sites/default/files/4654_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/4654_1.jpg?itok=Yskmc34q,Plantaginaceae,"Ourisia coccinea (Cav.) Pers. var. minor Benth., Ourisia coccinea (Cav.) Pers. var. elegans (Phil.) Reiche, Ourisia elegans Phil.",Hierba perenne,Endémica,"Coquimbo (COQ), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI)",100-2600 m.,-,-,-
Ourisia fragrans Phil.,http://catalogoplantas.udec.cl/sites/default/files/4655_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/4655_1.jpg?itok=EZ3l4iOb,Plantaginaceae,"",Hierba perenne,Nativa,Los Lagos (LLA),1300-2200 m.,Argentina,-,-
Ourisia fuegiana Skottsb.,http://catalogoplantas.udec.cl/sites/default/files/4656_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/4656_1.jpg?itok=p7kq93M9,Plantaginaceae,Ourisia muscosa auct. non Benth.,Hierba perenne,Nativa,"Aysén (AIS), Magallanes (MAG)",0-1200 m.,Argentina,-,-
Ourisia microphylla Poepp. & Endl.,http://catalogoplantas.udec.cl/sites/default/files/4657_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/4657_1.jpg?itok=Mx_Uol2O,Plantaginaceae,Ourisia polyantha auct. non Poepp. & Endl.,Subarbusto,Nativa,"Maule (MAU), Ñuble (NUB), Biobío (BIO)",800-2200 m.,Argentina,-,-
Ourisia muscosa Benth.,http://catalogoplantas.udec.cl/sites/default/files/4658_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/4658_1.jpg?itok=bbNdbnaD,Plantaginaceae,"",Hierba perenne,Nativa,"Arica y Parinacota (AYP), Tarapacá (TAR)",3800-5000 m.,Bolivia y Perú,-,-
Ourisia polyantha Poepp. & Endl.,http://catalogoplantas.udec.cl/sites/default/files/4659_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/4659_1.jpg?itok=UzO_Vad1,Plantaginaceae,Ourisia diazii Phil.,Subarbusto,Endémica,"Metropolitana (RME), O'Higgins (LBO)",1300-2400 m.,-,-,-
Ourisia pygmaea Phil.,http://catalogoplantas.udec.cl/sites/default/files/4660_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/4660_1.jpg?itok=IXLKJjla,Plantaginaceae,Ourisia uniflora auct. non Phil.,Hierba perenne,Nativa,"Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA)",1400-2200 m.,Argentina,-,-
Ourisia ruelloides (L.f.) Kuntze,http://catalogoplantas.udec.cl/sites/default/files/4661_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/4661_1.jpg?itok=es6oD8YY,Plantaginaceae,"Ourisia poeppigii Benth., Ourisia racemosa Clos, Ourisia magellanica C.F. Gaertn., Ourisia glabra Molina, Chelone ruelloides L.f.",Hierba perenne,Nativa,"O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",0-2600 m.,Argentina,-,-
Ourisia serpyllifolia Benth.,http://catalogoplantas.udec.cl/sites/default/files/4662_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/4662_1.jpg?itok=RmeeM5za,Plantaginaceae,Ourisia melospermoides Phil.,Subarbusto,Endémica,"Valparaíso (VAL), Metropolitana (RME), Maule (MAU)",1000-2200 m.,-,-,-
Plantago australis Lam. subsp. australis,http://catalogoplantas.udec.cl/sites/default/files/4663_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/4663_1.jpg?itok=3Pg5lV61,Plantaginaceae,"Plantago candollei Raf., Plantago accrescens Pilg., Plantago kurtzii Pilg., Plantago refracta Pilg., Plantago stuckertii Pilg., Plantago leptophylla Decne., Plantago cantagallensis Zahlbr., Plantago bicallosa Decne., Plantago australis Lam. subsp. angustifolia (Pilg.) Rahn, Plantago bicallosa Decne. var. angustifolia Pilg., Plantago gigantea Decne., Plantago durvillei Fisch. & C.A. Mey.",Hierba perenne,Nativa,"Tarapacá (TAR), Valparaíso (VAL), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG), Juan Fernández (JFE)",0-3500 m.,Argentina y Bolivia,-,-
Plantago australis Lam. subsp. cumingiana (Fisch. & C.A. Mey.) Rahn,http://catalogoplantas.udec.cl/sites/default/files/4664_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/4664_1.jpg?itok=LgykQz6o,Plantaginaceae,"Plantago cumingiana Fisch. & C.A. Mey., Plantago pugae Phil., Plantago calbucana Phil., Plantago foncki Phil., Plantago tomentosa Lam. var. foncki (Phil.) Reiche, Plantago laevigata Phil., Plantago ovata Phil., Plantago julieti Phil.",Hierba perenne,Nativa,"Valparaíso (VAL), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",0-2000 m.,Argentina,-,-
Plantago barbata G. Forst. subsp. austroandina Rahn,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/4665.png?itok=Y_v7OQk4,Plantaginaceae,"",Hierba perenne,Nativa,"Aysén (AIS), Magallanes (MAG)",100-1800 m.,Argentina,-,-
Plantago barbata G. Forst. subsp. barbata,http://catalogoplantas.udec.cl/sites/default/files/4666_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/4666_1.jpg?itok=Mnn_TFMk,Plantaginaceae,"Plantago andicola Gillies ex Hook.f., Plantago imberbis Hook.f., Plantago pauciflora Lam., Plantago barbata G. Forst. var. pauciflora (Gay) Pilg., Plantago andicola Decne. ex Barnéoud, Plantago pauciflora Lam. var. major Barnéoud, Plantago barbata G. Forst. var. imberbis Hook.f., Plantago caespitosa Phil., Plantago barbata G. Forst. var. caespitosa (Phil.) Pilg., Plantago pachyrrhiza Phil.",Hierba perenne,Nativa,"Atacama (ATA), Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Lagos (LLA), Aysén (AIS), Magallanes (MAG)",500-3600 m.,Argentina,-,-
Plantago barbata G. Forst. subsp. monanthos (d'Urv.) Rahn,http://catalogoplantas.udec.cl/sites/default/files/4667_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/4667_1.jpg?itok=28lfMUlc,Plantaginaceae,"Plantago monanthos d'Urv., Plantago polymorpha Banks & Sol. ex Hook.f., Plantago barbata G. Forst. var. elongata Hook.f., Plantago barbata G. Forst. var. monanthos (d'Urv.) Pilg.,",Hierba perenne,Nativa,"Metropolitana (RME), Magallanes (MAG)",0-200 m.,Argentina,-,-
Plantago barbata G. Forst. subsp. muscoides (Hook.f.) Rahn,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/4668.png?itok=oxYNpzQm,Plantaginaceae,"Plantago monanthos d'Urv. var. muscoides Hook.f., Plantago monanthos d'Urv. var. abbreviata Hook.f., Plantago barbata G. Forst. fma. muscoides (Hook.f.) Pilg., Plantago barbata G. Forst. fma. abbreviata (Hook.f.) Pilg.",Hierba perenne,Nativa,Magallanes (MAG),0-200 m.,Argentina,-,-
Plantago brasiliensis Sims,http://catalogoplantas.udec.cl/sites/default/files/4669_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/4669_1.jpg?itok=AGQSX8ZE,Plantaginaceae,"Plantago brasiliensis Sims var. gayana (Decne. ex Barnéoud) Pilg., Plantago obtusata Decne., Plantago chilensis Rapin, Plantago decaisnei Barnéoud, Plantago gayana Decne. ex Barnéoud, Plantago lasiothrix Kunze ex Decne., Plantago brasiliensis Sims var. chilensis (Rapin) Pilg., Plantago sericea Ruiz & Pav. var. decaisnei (Barnéoud) Wedd., Plantago brasiliensis Sims var. decaisnei (Barnéoud) Pilg., Plantago brasiliensis Sims var. lasiothrix (Decne.) Pilg., Plantago dolichophylla Phil., Plantago vidali Phil.",Hierba perenne,Nativa,"Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Lagos (LLA)",0-2200 m.,Argentina,-,-
Plantago coronopus L.,-,http://catalogoplantas.udec.cl/sites/default/files/styles/large/public/4670.png?itok=aNd3KNeB,Plantaginaceae,"",Hierba anual,Introducida,"Coquimbo (COQ), O'Higgins (LBO), Ñuble (NUB), Biobío (BIO), Araucanía (ARA)",-,-,-,-
Plantago fernandezia Bertero ex Barnéoud,http://catalogoplantas.udec.cl/sites/default/files/4671_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/4671_1.jpg?itok=WQmVu71n,Plantaginaceae,Robinsonia nervosa Phil.,Arbusto,Endémica,Juan Fernández (JFE),500-600 m.,-,-,-
Plantago firma Kunze ex Walp.,http://catalogoplantas.udec.cl/sites/default/files/4672_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/4672_1.jpg?itok=Juasj02L,Plantaginaceae,"Plantago brachystachys Walp., Plantago virginica L. var. firma (Walp.) Reiche, Plantago truncata Cham. & Schltdl. var. canohirsuta Pilg., Plantago leonensis Steud., Plantago clausa Steud., Plantago marginata Steud., Plantago skottsbergii Pilg., Plantago truncata Cham. & Schltdl. subsp. skottsbergii (Pilg.) Pilg., Plantago truncata Cham. & Schltdl. subsp. firma (Kuntze ex Walp.) Pilg.",Hierba anual,Endémica,"Coquimbo (COQ), Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA), Los Ríos (LRI), Juan Fernández (JFE)",0-1000 m.,-,-,-
Plantago grandiflora Meyen,http://catalogoplantas.udec.cl/sites/default/files/4673_1.jpg,http://catalogoplantas.udec.cl/sites/default/files/styles/medium/public/4673_1.jpg?itok=yrAkyRq-,Plantaginaceae,"Plantago macrantha Decne. ex Barnéoud, Plantago macrantha Decne. ex Barnéoud var. nitidifolia Barnéoud, Plantago macrantha Decne. ex Barnéoud var. trichophylla Phil., Plantago macrantha Decne. ex Barnéoud var. hirsuta Phil., Plantago macrantha Decne. ex Barnéoud var. argentea Phil.",Hierba perenne,Nativa,"Valparaíso (VAL), Metropolitana (RME), O'Higgins (LBO), Maule (MAU), Ñuble (NUB), Biobío (BIO), Araucanía (ARA)",1300-2800 m.,Argentina,-,-
